winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GIDEON KIPSIELEI TOWETT MOI,BARINGO,KANU,892,892,61.22,116255,7,189908,4089,232258
CHRISTOPHER ANDREW LANGAT,BOMET,JP,728,728,52.74,138842,1,263243,5089,322012
MOSES MASIKA WETANGULA,BUNGOMA,FORD-KENYA,1186,1186,70.4,295871,482,420295,7918,559850
SITSWILA AMOS WAKO,BUSIA,ODM,760,760,50.63,139025,477,274578,5991,351048
ONESIMUS KIPCHUMBA MURKOMEN,ELGEYO/MARAKWET,JP,524,529,80.16,116098,6,144824,1576,180664
PETER NJERU NDWIGA,EMBU,JP,162,710,70.63,40155,22,56855,1729,309468
MOHAMED YUSUF HAJI,GARISSA,JP,380,381,40.23,45975,17,114282,3439,163350
MOSES OTIENO KAJWANG,HOMA BAY,ODM,1055,1062,81.6,325024,8,398310,7081,476875
DULLO FATUMA ADAN,ISIOLO,PDR,195,195,27.82,15026,2,54016,1110,75338
PHILLIP SALAU MPAAYEI,KAJIADO,JP,797,797,52.06,169195,88,325010,5645,411193
CLEOPHAS WAKHUNGU MALALAH,KAKAMEGA,ANC,1496,1497,41.8,229022,11,547864,15976,743736
AARON KIPKIRUI CHERUIYOT,KERICHO,JP,780,780,92.4,279472,0,302471,2772,375668
WAMATANGI PAUL KIMANI,KIAMBU,JP,1963,1963,74.86,734661,20,981348,11859,1180920
STEWART MWACHIRU SHADRACK MADZAYO,KILIFI,ODM,988,988,64.31,209425,28,325639,5394,508068
DANIEL KARABA DICKSON,KIRINYAGA,JP,29,659,51.79,6152,0,11879,198,349836
SAMSON KEGENGO ONGERI,KISII,ODM,1117,1126,45.65,183313,2,401537,9622,546580
FREDRICK OTIENO OUTA,KISUMU,ODM,1020,1027,82.57,358085,12,433653,3459,539210
ENOCH KIIO WAMBUA,KITUI,WDM-K,1454,1454,70.13,250830,25,357648,6605,474512
ISSA JUMA BOY,KWALE,ODM,612,612,40.6,74852,3,184385,2713,281041
JOHN KINYUA NDERITU,LAIKIPIA,JP,531,531,73.19,145150,19,198327,1765,246487
ANUAR LOITIPTIP,LAMU,JP,167,167,29.44,14432,46,49028,1109,69776
BONIFACE MUTINDA KABAKA,MACHAKOS,CCU,1332,1332,34.77,163075,9,469072,10316,620254
MUTULA KILONZO JUNIOR,MAKUENI,WDM-K,1060,1060,96.45,320243,18,332023,7367,423310
MOHAMED MAALIM MAHAMUD,MANDERA,JP,401,401,52.49,71633,9,136463,3354,175642
GODANA HARGURA,MARSABIT,JP,384,384,50.46,55845,6,110671,3145,141708
FRANKLIN MITHIKA LINTURI,MERU,JP,1473,1473,57.03,308711,0,541333,12593,702480
BEN OLUOCH OKELLO,MIGORI,ODM,826,826,58.93,189125,5,320912,5242,388633
MOHAMED FAKI MWINYIHAJI,MOMBASA,ODM,934,934,50.75,172409,40,339734,9077,580223
IRUNGU KANG'ATA,MURANG'A,JP,1131,1131,55.11,279285,4,506734,9532,587126
JOHNSON ARTHUR SAKAJA,NAIROBI CITY,JP,3368,3378,51.24,832261,1116,1624133,29336,2250853
SUSAN WAKARURA KIHIKA,NAKURU,JP,1806,1806,89.63,673727,56,751697,11605,949618
CHERARKEY K SAMSON,NANDI,JP,796,796,92.49,248210,50,268372,5359,346007
LEDAMA OLE KINA,NAROK,ODM,750,750,43.58,122622,0,281389,5158,341730
ERICK OKONGO MOGENI,NYAMIRA,ODM,551,553,38.74,78797,5,203395,12249,278853
PAUL GITHIOMI MWANGI,NYANDARUA,JP,653,654,90.52,260153,3,287406,4180,335634
ENG EPHRAIM MWANGI MAINA KIRINYAGA,NYERI,JP,917,917,68.5,269034,493,392778,7195,456949
STEVE LTUMBESI LELEGWE,SAMBURU,JP,284,284,50.49,32257,1,63886,926,82787
JAMES AGGREY BOB ORENGO,SIAYA,ODM,916,916,98.35,372615,8,378851,4200,457953
JOHNES MWASHUSHE MWARUMA,TAITA TAVETA,ODM,354,354,39.18,43961,1,112214,3529,155716
GOLICH JUMA WARIO,TANA RIVER,JP,150,307,38.09,14924,0,39176,348,118327
KITHURE KINDIKI A K,THARAKA - NITHI,JP,625,625,69.11,120548,16,174422,2177,213154
MICHAEL MALING'A MBITO,TRANS NZOIA,JP,639,639,28.97,71307,20,246137,6095,339622
MALACHY CHARLES  EKAL IMANA,TURKANA,ODM,643,644,54.54,71589,36,131269,3200,191435
MARGARET JEPKOECH KAMAR,UASIN GISHU,JP,868,868,67.39,229543,49,340624,4940,450055
KHANIRI GEORGE,VIHIGA,ANC,548,548,66.6,133303,5,200141,4692,272409
ABDULLAHI IBRAHIM ALI,WAJIR,JP,434,434,29.65,35393,11,119360,3650,162902
SAMUEL LOSURON POGHISIO,WEST POKOT,KANU,706,712,60.88,90761,1,149080,4529,180232
