winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GLADWELL JESIRE CHERUIYOT,BARINGO,KANU,888,892,33.81,63872,24,188941,3973,232258
JOYCE KORIR CHEPKOECH,BOMET,JP,724,728,78.68,205380,562,261038,4506,322012
CATHERINE NANJALA WAMBILIANGA,BUNGOMA,FORD-KENYA,1159,1186,61.79,253241,31,409836,6579,559850
FLORENCE MWIKALI MUTUA,BUSIA,ODM,749,760,53.79,144706,72,269044,6307,351048
JANE JEPKORIR KIPTOO CHEBAIBAI,ELGEYO/MARAKWET,JP,525,529,62.45,90453,7,144851,1110,180664
JANE WANJUKI NJIRU,EMBU,JP,702,710,39.38,97113,22,246630,5942,309468
ANAB MOHAMED GURE,GARISSA,JP,371,381,35.14,39141,432,111377,3793,163350
GLADYS ATIENO NYASUNA WANGA,HOMA BAY,ODM,1026,1062,95.56,369283,13,386437,4558,476875
REHEMA DIDA JALDESA,ISIOLO,JP,188,195,49.42,25638,0,51876,1029,75338
JANET MARANIA TEYIAA,KAJIADO,JP,768,797,57.33,180023,3,314014,5419,411193
ELSIE BUSIHILE MUHANDA,KAKAMEGA,ODM,1469,1497,53.14,286432,396,539003,14438,743736
FLORENCE CHEPNGETICH KOSKEY,KERICHO,JP,755,780,55.74,162899,8,292240,3633,375668
GATHONI WAMUCHOMBA,KIAMBU,JP,1946,1963,94.2,915992,22,972387,11275,1180920
GERTRUDE MBEYU MWANYANJE,KILIFI,ODM,965,988,52.65,167490,11,318097,4084,508068
PURITY WANGUI NGIRICI,KIRINYAGA,JP,653,659,72.8,215745,3,296352,5740,349836
JANET ONGERA,KISII,ODM,1107,1126,42.61,169481,3,397733,8106,546580
ROZAAH AKINYI BUYU,KISUMU,ODM,999,1027,89.01,377974,12,424661,3318,539210
IRENE MUTHONI KASALU,KITUI,WDM-K,1443,1454,64.8,230417,14,355567,5930,474512
ZULEIKHA JU MA HASSAN,KWALE,ODM,593,612,47.44,84397,2,177919,2466,281041
CATHERINE WANJIKU WARUGURU,LAIKIPIA,JP,530,531,69.85,138397,81,198141,2152,246487
RUWEIDA MOHAMED OBO,LAMU,JP,166,167,47.04,23093,14,49091,741,69776
JOYCE KAMENE,MACHAKOS,WDM-K,1321,1332,46.41,215538,5,464415,6954,620254
ROSE MUSEO MUMO,MAKUENI,WDM-K,1057,1060,68.61,226354,5,329937,5707,423310
AMINA GEDOW HASSAN,MANDERA,EFP,394,401,47.83,63974,6,133757,2197,175642
SAFIA SHEIKH ADAN,MARSABIT,JP,383,384,36.94,40787,0,110425,2644,141708
KAWIRA MWANGAZA,MERU,IND,1456,1473,51.99,278526,359,535768,9132,702480
PAMELA AWUOR OCHIENG,MIGORI,ODM,807,826,60.41,189227,9,313227,4332,388633
ASHA HUSSEIN MOHAMED,MOMBASA,ODM,932,934,54.73,185472,73,338879,6007,580223
MAITU SABINA WANJIRU CHEGE,MURANG'A,JP,1128,1131,77.37,390912,12,505269,7030,587126
ESTHER MUTHONI ROSANNA PASSARIS,NAIROBI CITY,ODM,3300,3378,53.17,847234,1050,1593343,26807,2250853
CHELULE CHEPKORIR LIZA,NAKURU,JP,1759,1806,67.7,494095,59,729823,10886,949618
TECLA CHEBET TUM,NANDI,JP,785,796,92.11,245537,35,266558,3495,346007
ROSELINDA SOIPAN TUYA,NAROK,JP,743,750,43.13,120002,377,278240,3258,341730
JERUSHA MONGINA MOMANYI,NYAMIRA,JP,536,553,44.03,87385,1,198445,6286,278853
FAITH WAIRIMU GITAU,NYANDARUA,JP,649,654,96.09,274689,2,285877,3609,335634
RAHAB MUKAMI WACHIRA,NYERI,JP,917,917,66.76,261859,430,392243,5617,456949
MAISON LESHOOMO,SAMBURU,KANU,282,284,49.28,31143,0,63199,1154,82787
OMBAKA CHRISTINE ODUOR,SIAYA,ODM,905,916,51.28,191791,0,374042,4028,457953
LYDIA HAIKA MNENE MIZIGHI,TAITA TAVETA,JP,343,354,40.74,44380,1,108931,2496,155716
REHEMA HASSAN,TANA RIVER,MCCP,300,307,25.5,21890,7,85841,1079,118327
BEATRICE NKATHA NYAGA,THARAKA - NITHI,JP,617,625,53.73,92296,17,171775,2140,213154
JANET NANGABO WANYAMA,TRANS NZOIA,JP,616,639,39.97,94762,11,237067,5090,339622
JOYCE AKAI EMANIKOR,TURKANA,JP,617,644,40.51,50730,22,125226,2596,191435
GLADYS JEPKOSGEI-BOSS SHOLLEI,UASIN GISHU,JP,854,868,66.51,222392,21,334388,4881,450055
BEATRICE KAHAI ADAGALA,VIHIGA,ANC,529,548,36.05,68895,12,191087,6921,272409
FATUMA GEDI ALI,WAJIR,PDR,434,434,27.89,33376,13,119649,3133,162902
LILIAN CHEPTOO TOMITOM,WEST POKOT,JP,696,712,41.87,61541,2,146998,4265,180232
