winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GIDEON KIPSIELEI TOWETT MOI,BARINGO,KANU,845,892,61.39,110584,5,180121,4027,232258
CHRISTOPHER ANDREW LANGAT,BOMET,JP,725,728,52.75,138388,1,262334,5089,322012
MOSES MASIKA WETANGULA,BUNGOMA,FORD-KENYA,1154,1186,70.43,288189,482,409181,7796,559850
SITSWILA AMOS WAKO,BUSIA,ODM,754,760,50.69,137922,477,272068,5938,351048
ONESIMUS KIPCHUMBA MURKOMEN,ELGEYO/MARAKWET,JP,519,529,80.15,115189,6,143708,1572,180664
PETER NJERU NDWIGA,EMBU,JP,161,710,70.51,39900,22,56586,1728,309468
MOHAMED YUSUF HAJI,GARISSA,JP,353,381,40.4,42391,15,104936,2615,163350
MOSES OTIENO KAJWANG,HOMA BAY,ODM,991,1062,81.63,305351,8,374060,6947,476875
DULLO FATUMA ADAN,ISIOLO,PDR,184,195,27.87,14131,2,50696,1083,75338
PHILLIP SALAU MPAAYEI,KAJIADO,JP,754,797,52.77,162984,88,308854,5528,411193
CLEOPHAS WAKHUNGU MALALAH,KAKAMEGA,ANC,1461,1497,41.83,224328,11,536294,15429,743736
AARON KIPKIRUI CHERUIYOT,KERICHO,JP,748,780,92.36,267985,0,290159,2707,375668
WAMATANGI PAUL KIMANI,KIAMBU,JP,1909,1963,74.75,713404,19,954339,11703,1180920
STEWART MWACHIRU SHADRACK MADZAYO,KILIFI,ODM,958,988,64.21,202533,24,315444,5247,508068
DANIEL KARABA DICKSON,KIRINYAGA,JP,29,659,51.79,6152,0,11879,198,349836
SAMSON KEGENGO ONGERI,KISII,ODM,1093,1126,45.66,179388,1,392840,9485,546580
FREDRICK OTIENO OUTA,KISUMU,ODM,994,1027,82.74,349812,9,422771,3379,539210
ENOCH KIIO WAMBUA,KITUI,WDM-K,1389,1454,70.22,240872,24,343042,6197,474512
ISSA JUMA BOY,KWALE,ODM,579,612,40.71,70546,3,173304,2643,281041
JOHN KINYUA NDERITU,LAIKIPIA,JP,530,531,73.18,144905,19,198008,1761,246487
HASSAN ABDALLA ALBEITY,LAMU,WDM-K,165,167,29.59,14359,46,48528,1103,69776
BONIFACE MUTINDA KABAKA,MACHAKOS,CCU,1295,1332,34.91,158777,9,454862,10139,620254
MUTULA KILONZO JUNIOR,MAKUENI,WDM-K,1050,1060,96.46,316809,18,328447,7356,423310
MOHAMED MAALIM MAHAMUD,MANDERA,JP,366,401,53.11,66227,8,124702,3138,175642
GODANA HARGURA,MARSABIT,JP,367,384,50.53,53341,6,105558,3123,141708
FRANKLIN MITHIKA LINTURI,MERU,JP,1446,1473,57.0,302789,0,531170,12443,702480
BEN OLUOCH OKELLO,MIGORI,ODM,792,826,58.66,179883,5,306651,5156,388633
MOHAMED FAKI MWINYIHAJI,MOMBASA,ODM,909,934,50.74,167642,40,330391,8963,580223
IRUNGU KANG'ATA,MURANG'A,JP,1130,1131,55.11,279000,4,506268,9527,587126
JOHNSON ARTHUR SAKAJA,NAIROBI CITY,JP,3269,3378,51.16,806056,1111,1575706,28940,2250853
SUSAN WAKARURA KIHIKA,NAKURU,JP,1743,1806,89.63,648857,55,723929,11396,949618
CHERARKEY K SAMSON,NANDI,JP,780,796,92.44,243375,50,263269,5311,346007
LEDAMA OLE KINA,NAROK,ODM,729,750,44.05,120437,0,273419,5125,341730
ERICK OKONGO MOGENI,NYAMIRA,ODM,528,553,38.2,74475,5,194969,12138,278853
PAUL GITHIOMI MWANGI,NYANDARUA,JP,649,654,90.52,258471,3,285540,4173,335634
ENG EPHRAIM MWANGI MAINA KIRINYAGA,NYERI,JP,902,917,68.69,265198,493,386078,7175,456949
STEVE LTUMBESI LELEGWE,SAMBURU,JP,281,284,50.43,31746,1,62945,924,82787
JAMES AGGREY BOB ORENGO,SIAYA,ODM,889,916,98.34,362051,8,368178,4149,457953
JOHNES MWASHUSHE MWARUMA,TAITA TAVETA,ODM,342,354,39.18,42368,1,108129,3481,155716
GOLICH JUMA WARIO,TANA RIVER,JP,146,307,36.54,13940,0,38145,348,118327
KITHURE KINDIKI A K,THARAKA - NITHI,JP,595,625,69.07,114390,16,165607,2122,213154
MICHAEL MALING'A MBITO,TRANS NZOIA,JP,603,639,29.22,67637,20,231513,5952,339622
MALACHY CHARLES  EKAL IMANA,TURKANA,ODM,595,644,54.83,66290,35,120907,2769,191435
MARGARET JEPKOECH KAMAR,UASIN GISHU,JP,844,868,67.39,223273,48,331327,4845,450055
KHANIRI GEORGE,VIHIGA,ANC,524,548,66.5,127049,5,191044,4504,272409
ABDULLAHI IBRAHIM ALI,WAJIR,JP,404,434,29.8,33141,11,111204,3332,162902
SAMUEL LOSURON POGHISIO,WEST POKOT,KANU,681,712,61.05,88191,1,144449,4516,180232
