winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GLADWELL JESIRE CHERUIYOT,BARINGO,KANU,847,892,33.74,60825,24,180293,3922,232258
JOYCE KORIR CHEPKOECH,BOMET,JP,724,728,78.68,205380,562,261038,4506,322012
CATHERINE NANJALA WAMBILIANGA,BUNGOMA,FORD-KENYA,1145,1186,61.84,250382,31,404877,6524,559850
FLORENCE MWIKALI MUTUA,BUSIA,ODM,748,760,53.81,144528,72,268599,6294,351048
JANE JEPKORIR KIPTOO CHEBAIBAI,ELGEYO/MARAKWET,JP,520,529,62.27,89502,7,143736,1104,180664
JANE WANJUKI NJIRU,EMBU,JP,694,710,39.25,95726,22,243865,5886,309468
ANAB MOHAMED GURE,GARISSA,JP,353,381,35.27,37155,432,105355,3529,163350
GLADYS ATIENO NYASUNA WANGA,HOMA BAY,ODM,987,1062,95.54,355268,13,371855,4142,476875
REHEMA DIDA JALDESA,ISIOLO,JP,181,195,49.51,24665,0,49817,1012,75338
JANET MARANIA TEYIAA,KAJIADO,JP,748,797,57.54,176163,3,306180,5383,411193
ELSIE BUSIHILE MUHANDA,KAKAMEGA,ODM,1457,1497,53.11,284002,396,534788,14415,743736
FLORENCE CHEPNGETICH KOSKEY,KERICHO,JP,745,780,55.68,160809,8,288799,3611,375668
GATHONI WAMUCHOMBA,KIAMBU,JP,1910,1963,94.2,899159,21,954494,11172,1180920
GERTRUDE MBEYU MWANYANJE,KILIFI,ODM,954,988,52.63,165635,11,314687,4040,508068
PURITY WANGUI NGIRICI,KIRINYAGA,JP,653,659,72.8,215745,3,296352,5740,349836
JANET ONGERA,KISII,ODM,1093,1126,42.57,167029,3,392386,8070,546580
ROZAAH AKINYI BUYU,KISUMU,ODM,985,1027,89.12,373549,12,419152,3289,539210
IRENE MUTHONI KASALU,KITUI,WDM-K,1392,1454,64.75,223103,14,344552,5622,474512
ZULEIKHA JU MA HASSAN,KWALE,ODM,579,612,47.15,81637,2,173152,2434,281041
CATHERINE WANJIKU WARUGURU,LAIKIPIA,JP,529,531,69.87,138202,81,197792,2150,246487
RUWEIDA MOHAMED OBO,LAMU,JP,166,167,47.04,23093,14,49091,741,69776
JOYCE KAMENE,MACHAKOS,WDM-K,1295,1332,46.38,210923,5,454792,6854,620254
ROSE MUSEO MUMO,MAKUENI,WDM-K,1049,1060,68.55,224185,5,327019,5694,423310
AMINA GEDOW HASSAN,MANDERA,EFP,361,401,47.81,58369,6,122087,2177,175642
SAFIA SHEIKH ADAN,MARSABIT,JP,365,384,37.43,39292,0,104971,2618,141708
KAWIRA MWANGAZA,MERU,IND,1444,1473,52.01,276452,359,531569,8552,702480
PAMELA AWUOR OCHIENG,MIGORI,ODM,790,826,60.81,186286,9,306356,4291,388633
ASHA HUSSEIN MOHAMED,MOMBASA,ODM,893,934,54.9,178144,73,324496,5839,580223
MAITU SABINA WANJIRU CHEGE,MURANG'A,JP,1127,1131,77.36,390528,12,504801,7025,587126
ESTHER MUTHONI ROSANNA PASSARIS,NAIROBI CITY,ODM,3250,3378,53.27,835633,561,1568671,26652,2250853
CHELULE CHEPKORIR LIZA,NAKURU,JP,1733,1806,67.79,486883,59,718242,10795,949618
TECLA CHEBET TUM,NANDI,JP,781,796,92.08,244047,35,265028,3487,346007
ROSELINDA SOIPAN TUYA,NAROK,JP,731,750,43.06,117901,377,273787,3248,341730
JERUSHA MONGINA MOMANYI,NYAMIRA,JP,525,553,44.28,85949,1,194116,6247,278853
FAITH WAIRIMU GITAU,NYANDARUA,JP,645,654,96.08,272837,2,283982,3604,335634
RAHAB MUKAMI WACHIRA,NYERI,JP,901,917,66.82,257337,430,385107,5592,456949
MAISON LESHOOMO,SAMBURU,KANU,282,284,49.28,31143,0,63199,1154,82787
OMBAKA CHRISTINE ODUOR,SIAYA,ODM,886,916,51.16,187355,0,366242,3528,457953
LYDIA HAIKA MNENE MIZIGHI,TAITA TAVETA,JP,340,354,40.82,44066,1,107944,2484,155716
REHEMA HASSAN,TANA RIVER,MCCP,289,307,25.01,20693,3,82749,1061,118327
BEATRICE NKATHA NYAGA,THARAKA - NITHI,JP,597,625,53.74,89328,17,166231,2088,213154
JANET NANGABO WANYAMA,TRANS NZOIA,JP,601,639,40.02,92427,11,230968,5017,339622
JOYCE AKAI EMANIKOR,TURKANA,JP,588,644,40.32,48190,21,119512,2587,191435
GLADYS JEPKOSGEI-BOSS SHOLLEI,UASIN GISHU,JP,838,868,66.48,218226,21,328260,4813,450055
BEATRICE KAHAI ADAGALA,VIHIGA,ANC,520,548,35.73,67109,12,187814,6873,272409
FATUMA GEDI ALI,WAJIR,PDR,402,434,28.87,32027,13,110924,3059,162902
LILIAN CHEPTOO TOMITOM,WEST POKOT,JP,678,712,41.65,59924,2,143891,4258,180232
