winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GIDEON KIPSIELEI TOWETT MOI,BARINGO,KANU,892,892,61.22,116255,7,189908,4089,232258
CHRISTOPHER ANDREW LANGAT,BOMET,JP,728,728,52.74,138842,1,263243,5089,322012
MOSES MASIKA WETANGULA,BUNGOMA,FORD-KENYA,1181,1186,70.36,294576,482,418668,7896,559850
SITSWILA AMOS WAKO,BUSIA,ODM,757,760,50.79,138859,477,273401,5973,351048
ONESIMUS KIPCHUMBA MURKOMEN,ELGEYO/MARAKWET,JP,524,529,80.16,116098,6,144824,1576,180664
PETER NJERU NDWIGA,EMBU,JP,162,710,70.63,40155,22,56855,1729,309468
MOHAMED YUSUF HAJI,GARISSA,JP,379,381,40.37,45961,17,113840,3439,163350
MOSES OTIENO KAJWANG,HOMA BAY,ODM,1028,1062,81.55,316257,8,387796,7010,476875
DULLO FATUMA ADAN,ISIOLO,PDR,195,195,27.82,15026,2,54016,1110,75338
PHILLIP SALAU MPAAYEI,KAJIADO,JP,796,797,52.08,169145,88,324766,5645,411193
CLEOPHAS WAKHUNGU MALALAH,KAKAMEGA,ANC,1496,1497,41.8,229022,11,547864,15976,743736
AARON KIPKIRUI CHERUIYOT,KERICHO,JP,779,780,92.39,279197,0,302183,2767,375668
WAMATANGI PAUL KIMANI,KIAMBU,JP,1959,1963,74.85,732954,20,979230,11848,1180920
STEWART MWACHIRU SHADRACK MADZAYO,KILIFI,ODM,985,988,64.28,208614,28,324531,5392,508068
DANIEL KARABA DICKSON,KIRINYAGA,JP,29,659,51.79,6152,0,11879,198,349836
SAMSON KEGENGO ONGERI,KISII,ODM,1105,1126,45.63,181233,1,397199,9531,546580
FREDRICK OTIENO OUTA,KISUMU,ODM,1008,1027,82.65,354018,12,428357,3428,539210
ENOCH KIIO WAMBUA,KITUI,WDM-K,1453,1454,70.16,250817,25,357479,6599,474512
ISSA JUMA BOY,KWALE,ODM,612,612,40.6,74852,3,184385,2713,281041
JOHN KINYUA NDERITU,LAIKIPIA,JP,531,531,73.19,145150,19,198327,1765,246487
ANUAR LOITIPTIP,LAMU,JP,167,167,29.44,14432,46,49028,1109,69776
BONIFACE MUTINDA KABAKA,MACHAKOS,CCU,1331,1332,34.71,162639,9,468569,10316,620254
MUTULA KILONZO JUNIOR,MAKUENI,WDM-K,1060,1060,96.45,320243,18,332023,7367,423310
MOHAMED MAALIM MAHAMUD,MANDERA,JP,398,401,52.64,71400,9,135650,3351,175642
GODANA HARGURA,MARSABIT,JP,384,384,50.46,55845,6,110671,3145,141708
FRANKLIN MITHIKA LINTURI,MERU,JP,1473,1473,57.03,308711,0,541333,12593,702480
BEN OLUOCH OKELLO,MIGORI,ODM,811,826,58.57,184236,5,314568,5224,388633
MOHAMED FAKI MWINYIHAJI,MOMBASA,ODM,934,934,50.75,172409,40,339734,9077,580223
IRUNGU KANG'ATA,MURANG'A,JP,1131,1131,55.11,279285,4,506734,9532,587126
JOHNSON ARTHUR SAKAJA,NAIROBI CITY,JP,3359,3378,51.22,829467,1116,1619562,29304,2250853
SUSAN WAKARURA KIHIKA,NAKURU,JP,1803,1806,89.62,672673,56,750601,11599,949618
CHERARKEY K SAMSON,NANDI,JP,796,796,92.49,248210,50,268372,5359,346007
LEDAMA OLE KINA,NAROK,ODM,743,750,43.91,122309,0,278545,5147,341730
ERICK OKONGO MOGENI,NYAMIRA,ODM,542,553,38.45,76973,5,200190,12204,278853
PAUL GITHIOMI MWANGI,NYANDARUA,JP,653,654,90.52,260153,3,287406,4180,335634
ENG EPHRAIM MWANGI MAINA KIRINYAGA,NYERI,JP,917,917,68.5,269034,493,392778,7195,456949
STEVE LTUMBESI LELEGWE,SAMBURU,JP,284,284,50.49,32257,1,63886,926,82787
JAMES AGGREY BOB ORENGO,SIAYA,ODM,916,916,98.35,372615,8,378851,4200,457953
JOHNES MWASHUSHE MWARUMA,TAITA TAVETA,ODM,350,354,39.09,43343,1,110883,3508,155716
GOLICH JUMA WARIO,TANA RIVER,JP,150,307,38.09,14924,0,39176,348,118327
KITHURE KINDIKI A K,THARAKA - NITHI,JP,624,625,69.09,120301,16,174126,2177,213154
HENRY TIOLE NDIEMA,TRANS NZOIA,FORD-KENYA,628,639,28.98,70121,20,241953,6063,339622
MALACHY CHARLES  EKAL IMANA,TURKANA,ODM,640,644,54.54,71378,36,130873,3198,191435
MARGARET JEPKOECH KAMAR,UASIN GISHU,JP,867,868,67.38,229242,49,340204,4938,450055
KHANIRI GEORGE,VIHIGA,ANC,544,548,66.63,132378,5,198663,4664,272409
ABDULLAHI IBRAHIM ALI,WAJIR,JP,434,434,29.65,35393,11,119360,3650,162902
SAMUEL LOSURON POGHISIO,WEST POKOT,KANU,701,712,60.96,90014,1,147666,4525,180232
