winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GIDEON KIPSIELEI TOWETT MOI,BARINGO,KANU,875,892,61.17,113664,7,185814,4062,232258
CHRISTOPHER ANDREW LANGAT,BOMET,JP,725,728,52.75,138388,1,262334,5089,322012
MOSES MASIKA WETANGULA,BUNGOMA,FORD-KENYA,1166,1186,70.41,291040,482,413340,7838,559850
SITSWILA AMOS WAKO,BUSIA,ODM,755,760,50.72,138221,477,272512,5952,351048
ONESIMUS KIPCHUMBA MURKOMEN,ELGEYO/MARAKWET,JP,524,529,80.16,116098,6,144824,1576,180664
PETER NJERU NDWIGA,EMBU,JP,162,710,70.63,40155,22,56855,1729,309468
MOHAMED YUSUF HAJI,GARISSA,JP,354,381,40.43,42523,15,105185,2615,163350
MOSES OTIENO KAJWANG,HOMA BAY,ODM,1026,1062,81.54,315473,8,386913,7007,476875
DULLO FATUMA ADAN,ISIOLO,PDR,190,195,27.8,14567,2,52401,1095,75338
PHILLIP SALAU MPAAYEI,KAJIADO,JP,772,797,52.33,165547,88,316380,5583,411193
CLEOPHAS WAKHUNGU MALALAH,KAKAMEGA,ANC,1473,1497,41.74,225629,11,540496,15462,743736
AARON KIPKIRUI CHERUIYOT,KERICHO,JP,759,780,92.37,271549,0,293995,2734,375668
WAMATANGI PAUL KIMANI,KIAMBU,JP,1944,1963,74.82,727092,20,971793,11803,1180920
STEWART MWACHIRU SHADRACK MADZAYO,KILIFI,ODM,969,988,64.24,204912,25,318994,5286,508068
DANIEL KARABA DICKSON,KIRINYAGA,JP,29,659,51.79,6152,0,11879,198,349836
SAMSON KEGENGO ONGERI,KISII,ODM,1102,1126,45.66,180966,1,396306,9524,546580
FREDRICK OTIENO OUTA,KISUMU,ODM,999,1027,82.7,351198,9,424663,3396,539210
ENOCH KIIO WAMBUA,KITUI,WDM-K,1441,1454,70.2,248928,25,354577,6556,474512
ISSA JUMA BOY,KWALE,ODM,594,612,40.87,72907,3,178398,2673,281041
JOHN KINYUA NDERITU,LAIKIPIA,JP,531,531,73.19,145150,19,198327,1765,246487
ANUAR LOITIPTIP,LAMU,JP,167,167,29.44,14432,46,49028,1109,69776
BONIFACE MUTINDA KABAKA,MACHAKOS,CCU,1322,1332,34.75,161625,9,465082,10268,620254
MUTULA KILONZO JUNIOR,MAKUENI,WDM-K,1056,1060,96.46,318852,18,330565,7362,423310
MOHAMED MAALIM MAHAMUD,MANDERA,JP,374,401,52.82,67295,8,127394,3142,175642
GODANA HARGURA,MARSABIT,JP,383,384,50.64,55815,6,110228,3145,141708
FRANKLIN MITHIKA LINTURI,MERU,JP,1458,1473,56.99,305125,0,535406,12492,702480
BEN OLUOCH OKELLO,MIGORI,ODM,807,826,58.43,182668,5,312632,5211,388633
MOHAMED FAKI MWINYIHAJI,MOMBASA,ODM,932,934,50.75,172053,40,339038,9059,580223
IRUNGU KANG'ATA,MURANG'A,JP,1131,1131,55.11,279285,4,506734,9532,587126
JOHNSON ARTHUR SAKAJA,NAIROBI CITY,JP,3308,3378,51.25,817388,1113,1594787,29112,2250853
SUSAN WAKARURA KIHIKA,NAKURU,JP,1766,1806,89.6,657751,55,734099,11464,949618
CHERARKEY K SAMSON,NANDI,JP,787,796,92.45,245694,50,265766,5333,346007
LEDAMA OLE KINA,NAROK,ODM,740,750,44.0,122055,0,277410,5142,341730
ERICK OKONGO MOGENI,NYAMIRA,ODM,530,553,38.15,74685,5,195784,12146,278853
PAUL GITHIOMI MWANGI,NYANDARUA,JP,653,654,90.52,260153,3,287406,4180,335634
ENG EPHRAIM MWANGI MAINA KIRINYAGA,NYERI,JP,915,917,68.48,268472,493,392037,7195,456949
STEVE LTUMBESI LELEGWE,SAMBURU,JP,281,284,50.43,31746,1,62945,924,82787
JAMES AGGREY BOB ORENGO,SIAYA,ODM,905,916,98.35,368411,8,374600,4181,457953
JOHNES MWASHUSHE MWARUMA,TAITA TAVETA,ODM,344,354,39.21,42648,1,108757,3492,155716
GOLICH JUMA WARIO,TANA RIVER,JP,149,307,37.86,14771,0,39013,348,118327
KITHURE KINDIKI A K,THARAKA - NITHI,JP,617,625,68.98,118618,16,171959,2170,213154
MICHAEL MALING'A MBITO,TRANS NZOIA,JP,618,639,29.06,69046,20,237604,6029,339622
MALACHY CHARLES  EKAL IMANA,TURKANA,ODM,620,644,54.78,69132,35,126203,3184,191435
MARGARET JEPKOECH KAMAR,UASIN GISHU,JP,853,868,67.44,225817,49,334826,4883,450055
KHANIRI GEORGE,VIHIGA,ANC,533,548,66.57,129432,5,194421,4585,272409
ABDULLAHI IBRAHIM ALI,WAJIR,JP,429,434,29.68,34984,11,117862,3639,162902
SAMUEL LOSURON POGHISIO,WEST POKOT,KANU,691,712,60.99,89060,1,146020,4521,180232
