winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GLADWELL JESIRE CHERUIYOT,BARINGO,KANU,875,892,33.71,62557,24,185599,3952,232258
JOYCE KORIR CHEPKOECH,BOMET,JP,724,728,78.68,205380,562,261038,4506,322012
CATHERINE NANJALA WAMBILIANGA,BUNGOMA,FORD-KENYA,1151,1186,61.85,251626,31,406801,6540,559850
FLORENCE MWIKALI MUTUA,BUSIA,ODM,748,760,53.81,144528,72,268599,6294,351048
JANE JEPKORIR KIPTOO CHEBAIBAI,ELGEYO/MARAKWET,JP,525,529,62.45,90453,7,144851,1110,180664
JANE WANJUKI NJIRU,EMBU,JP,700,710,39.36,96817,22,245964,5930,309468
ANAB MOHAMED GURE,GARISSA,JP,353,381,35.27,37155,432,105355,3529,163350
GLADYS ATIENO NYASUNA WANGA,HOMA BAY,ODM,1011,1062,95.56,363943,13,380854,4543,476875
REHEMA DIDA JALDESA,ISIOLO,JP,184,195,49.66,25081,0,50502,1024,75338
JANET MARANIA TEYIAA,KAJIADO,JP,757,797,57.5,178072,3,309678,5391,411193
ELSIE BUSIHILE MUHANDA,KAKAMEGA,ODM,1459,1497,53.1,284385,396,535573,14418,743736
FLORENCE CHEPNGETICH KOSKEY,KERICHO,JP,755,780,55.74,162899,8,292240,3633,375668
GATHONI WAMUCHOMBA,KIAMBU,JP,1944,1963,94.2,914948,22,971270,11269,1180920
GERTRUDE MBEYU MWANYANJE,KILIFI,ODM,963,988,52.65,167129,11,317455,4080,508068
PURITY WANGUI NGIRICI,KIRINYAGA,JP,653,659,72.8,215745,3,296352,5740,349836
JANET ONGERA,KISII,ODM,1102,1126,42.62,168753,3,395982,8095,546580
ROZAAH AKINYI BUYU,KISUMU,ODM,989,1027,89.05,374478,12,420544,3300,539210
IRENE MUTHONI KASALU,KITUI,WDM-K,1440,1454,64.76,229915,14,355003,5928,474512
ZULEIKHA JU MA HASSAN,KWALE,ODM,588,612,47.36,83510,2,176322,2461,281041
CATHERINE WANJIKU WARUGURU,LAIKIPIA,JP,529,531,69.87,138202,81,197792,2150,246487
RUWEIDA MOHAMED OBO,LAMU,JP,166,167,47.04,23093,14,49091,741,69776
JOYCE KAMENE,MACHAKOS,WDM-K,1300,1332,46.45,212335,5,457157,6879,620254
ROSE MUSEO MUMO,MAKUENI,WDM-K,1055,1060,68.58,225674,5,329087,5703,423310
AMINA GEDOW HASSAN,MANDERA,EFP,365,401,47.81,58835,6,123054,2178,175642
SAFIA SHEIKH ADAN,MARSABIT,JP,376,384,37.33,40399,0,108214,2643,141708
KAWIRA MWANGAZA,MERU,IND,1453,1473,51.99,277972,359,534618,8580,702480
PAMELA AWUOR OCHIENG,MIGORI,ODM,801,826,60.67,188721,9,311050,4315,388633
ASHA HUSSEIN MOHAMED,MOMBASA,ODM,920,934,54.74,183138,73,334541,5939,580223
MAITU SABINA WANJIRU CHEGE,MURANG'A,JP,1128,1131,77.37,390912,12,505269,7030,587126
ESTHER MUTHONI ROSANNA PASSARIS,NAIROBI CITY,ODM,3262,3378,53.26,838557,561,1574605,26675,2250853
CHELULE CHEPKORIR LIZA,NAKURU,JP,1756,1806,67.73,493292,59,728352,10871,949618
TECLA CHEBET TUM,NANDI,JP,785,796,92.11,245537,35,266558,3495,346007
ROSELINDA SOIPAN TUYA,NAROK,JP,733,750,43.01,118115,377,274650,3248,341730
JERUSHA MONGINA MOMANYI,NYAMIRA,JP,527,553,44.24,86235,1,194934,6252,278853
FAITH WAIRIMU GITAU,NYANDARUA,JP,649,654,96.09,274689,2,285877,3609,335634
RAHAB MUKAMI WACHIRA,NYERI,JP,907,917,66.77,258864,430,387710,5606,456949
MAISON LESHOOMO,SAMBURU,KANU,282,284,49.28,31143,0,63199,1154,82787
OMBAKA CHRISTINE ODUOR,SIAYA,ODM,898,916,51.3,190383,0,371103,4009,457953
LYDIA HAIKA MNENE MIZIGHI,TAITA TAVETA,JP,340,354,40.82,44066,1,107944,2484,155716
REHEMA HASSAN,TANA RIVER,MCCP,299,307,25.5,21851,7,85689,1079,118327
BEATRICE NKATHA NYAGA,THARAKA - NITHI,JP,611,625,53.74,91395,17,170075,2128,213154
JANET NANGABO WANYAMA,TRANS NZOIA,JP,614,639,39.96,94424,11,236290,5079,339622
JOYCE AKAI EMANIKOR,TURKANA,JP,610,644,40.5,50218,22,124001,2595,191435
GLADYS JEPKOSGEI-BOSS SHOLLEI,UASIN GISHU,JP,847,868,66.5,220629,21,331750,4856,450055
BEATRICE KAHAI ADAGALA,VIHIGA,ANC,527,548,36.01,68529,12,190326,6909,272409
FATUMA GEDI ALI,WAJIR,PDR,426,434,28.08,32894,13,117134,3132,162902
LILIAN CHEPTOO TOMITOM,WEST POKOT,JP,678,712,41.65,59924,2,143891,4258,180232
