winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GIDEON KIPSIELEI TOWETT MOI,BARINGO,KANU,843,892,61.37,110378,5,179845,3929,232258
CHRISTOPHER ANDREW LANGAT,BOMET,JP,724,728,52.74,138198,1,262024,5088,322012
MOSES MASIKA WETANGULA,BUNGOMA,FORD-KENYA,1151,1186,70.44,287371,482,407967,7786,559850
SITSWILA AMOS WAKO,BUSIA,ODM,753,760,50.67,137723,477,271778,5932,351048
ONESIMUS KIPCHUMBA MURKOMEN,ELGEYO/MARAKWET,JP,518,529,80.17,114941,6,143366,1572,180664
PETER NJERU NDWIGA,EMBU,JP,161,710,70.51,39900,22,56586,1728,309468
MOHAMED YUSUF HAJI,GARISSA,JP,353,381,40.4,42391,15,104936,2615,163350
MOSES OTIENO KAJWANG,HOMA BAY,ODM,991,1062,81.63,305351,8,374060,6947,476875
DULLO FATUMA ADAN,ISIOLO,PDR,181,195,28.04,13949,2,49745,1082,75338
PHILLIP SALAU MPAAYEI,KAJIADO,JP,748,797,52.7,161414,88,306264,5503,411193
CLEOPHAS WAKHUNGU MALALAH,KAKAMEGA,ANC,1461,1497,41.83,224328,11,536294,15429,743736
AARON KIPKIRUI CHERUIYOT,KERICHO,JP,748,780,92.36,267985,0,290159,2707,375668
WAMATANGI PAUL KIMANI,KIAMBU,JP,1909,1963,74.75,713404,19,954339,11703,1180920
STEWART MWACHIRU SHADRACK MADZAYO,KILIFI,ODM,952,988,64.11,201003,24,313535,5222,508068
DANIEL KARABA DICKSON,KIRINYAGA,JP,29,659,51.79,6152,0,11879,198,349836
SAMSON KEGENGO ONGERI,KISII,ODM,1091,1126,45.64,178949,1,392098,9480,546580
FREDRICK OTIENO OUTA,KISUMU,ODM,994,1027,82.74,349812,9,422771,3379,539210
ENOCH KIIO WAMBUA,KITUI,WDM-K,1389,1454,70.22,240872,24,343042,6197,474512
ISSA JUMA BOY,KWALE,ODM,579,612,40.71,70546,3,173304,2643,281041
JOHN KINYUA NDERITU,LAIKIPIA,JP,530,531,73.18,144905,19,198008,1761,246487
HASSAN ABDALLA ALBEITY,LAMU,WDM-K,165,167,29.59,14359,46,48528,1103,69776
BONIFACE MUTINDA KABAKA,MACHAKOS,CCU,1294,1332,34.88,158556,9,454554,10137,620254
MUTULA KILONZO JUNIOR,MAKUENI,WDM-K,1048,1060,96.46,316113,18,327720,7350,423310
MOHAMED MAALIM MAHAMUD,MANDERA,JP,366,401,53.11,66227,8,124702,3138,175642
GODANA HARGURA,MARSABIT,JP,365,384,50.65,53336,6,105303,3123,141708
FRANKLIN MITHIKA LINTURI,MERU,JP,1443,1473,57.01,302180,0,530037,12426,702480
BEN OLUOCH OKELLO,MIGORI,ODM,789,826,58.57,178751,5,305216,5144,388633
MOHAMED FAKI MWINYIHAJI,MOMBASA,ODM,909,934,50.74,167642,40,330391,8963,580223
IRUNGU KANG'ATA,MURANG'A,JP,1130,1131,55.11,279000,4,506268,9527,587126
JOHNSON ARTHUR SAKAJA,NAIROBI CITY,JP,3268,3378,51.16,805892,1111,1575193,28936,2250853
SUSAN WAKARURA KIHIKA,NAKURU,JP,1729,1806,89.61,643397,55,718007,11369,949618
CHERARKEY K SAMSON,NANDI,JP,774,796,92.45,241345,50,261041,5276,346007
LEDAMA OLE KINA,NAROK,ODM,725,750,44.02,119590,0,271689,5110,341730
ERICK OKONGO MOGENI,NYAMIRA,ODM,528,553,38.2,74475,5,194969,12138,278853
PAUL GITHIOMI MWANGI,NYANDARUA,JP,646,654,90.54,257288,3,284185,4167,335634
ENG EPHRAIM MWANGI MAINA KIRINYAGA,NYERI,JP,899,917,68.74,264386,493,384638,7165,456949
STEVE LTUMBESI LELEGWE,SAMBURU,JP,281,284,50.43,31746,1,62945,924,82787
JAMES AGGREY BOB ORENGO,SIAYA,ODM,887,916,98.33,361323,8,367444,4145,457953
JOHNES MWASHUSHE MWARUMA,TAITA TAVETA,ODM,342,354,39.18,42368,1,108129,3481,155716
GOLICH JUMA WARIO,TANA RIVER,JP,146,307,36.54,13940,0,38145,348,118327
KITHURE KINDIKI A K,THARAKA - NITHI,JP,594,625,69.03,114067,16,165252,2111,213154
MICHAEL MALING'A MBITO,TRANS NZOIA,JP,603,639,29.22,67637,20,231513,5952,339622
MALACHY CHARLES  EKAL IMANA,TURKANA,ODM,575,644,55.57,64137,35,115419,2763,191435
MARGARET JEPKOECH KAMAR,UASIN GISHU,JP,844,868,67.39,223273,48,331327,4845,450055
KHANIRI GEORGE,VIHIGA,ANC,523,548,66.52,126894,5,190766,4497,272409
ABDULLAHI IBRAHIM ALI,WAJIR,JP,393,434,28.71,30998,11,107972,3325,162902
SAMUEL LOSURON POGHISIO,WEST POKOT,KANU,680,712,61.08,88009,1,144084,4514,180232
